Billid,rfcode,issuer username,payee username,Total Amount,Monthly Amount,Paid amount,issueDate,dueDate,isPaid,payDate,status,installments,paid installments
2000000092,RF06761812272355282369624,comuser9,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000093,RF95802938971732137330370,comuser9,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000094,RF77575578854357563162638,comuser9,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
2000000095,RF07491443834575462634223,comuser9,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000101,RF97371399891952355667210,comuser10,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000102,RF38541335432777035440392,comuser10,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000103,RF41669876914843187143487,comuser10,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000104,RF66973244206496802988844,comuser10,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
2000000105,RF12704733876335637653222,comuser10,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000019,RF49638719909669639314939,comuser1,100000002,150.0,150.0,150.0,2026-01-04,2026-03-04,true,2026-01-04,PAID,1,1
20000000110,RF61228017327708214924027,comuser1,100000002,100.0,100.0,100.0,2026-02-01,2026-03-04,true,2026-01-04,PAID,1,1
20000000111,RF24713019212511957487280,comuser1,100000002,100.0,100.0,100.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000112,RF98928643812325468915491,comuser1,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000113,RF58132015524729482831980,comuser1,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000114,RF39890292305212218411885,comuser1,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000115,RF79467436975554989150668,comuser1,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000116,RF81593342565655228313666,comuser1,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000026,RF56177720743160103407709,comuser2,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000027,RF05752905591281867127218,comuser2,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000028,RF75640889384998789146646,comuser2,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000029,RF73960267018701344883356,comuser2,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000210,RF83109686257362256346432,comuser2,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000036,RF88951881319758903718640,comuser3,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000037,RF78087476053063022996296,comuser3,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000038,RF19412069914603413935636,comuser3,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000039,RF93824850894422322842226,comuser3,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000310,RF72760383950309019852639,comuser3,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000046,RF14782967565120440585711,comuser4,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000047,RF51446262167219683606789,comuser4,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000048,RF88333561428241701109358,comuser4,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000049,RF35929571026249286060885,comuser4,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000410,RF81116334574590428454107,comuser4,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000056,RF95554445250906055456639,comuser5,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000057,RF39356697769492482115576,comuser5,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000058,RF98671819028359266895372,comuser5,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000059,RF39992875016653634513982,comuser5,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000510,RF49077665818191688865860,comuser5,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000066,RF64008792527354886023838,comuser6,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000067,RF72892541135071641904435,comuser6,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000068,RF66006719181416125124890,comuser6,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000069,RF19139870208262556732278,comuser6,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000610,RF93651462321534404616799,comuser6,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000076,RF08099091324983346115656,comuser7,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000077,RF30137647818905141581244,comuser7,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000078,RF58809770060249944415016,comuser7,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000079,RF29331347447862189277276,comuser7,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000710,RF65240374137314457892602,comuser7,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000086,RF67317655906010127610879,comuser8,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000087,RF96409466284802267820101,comuser8,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000088,RF90480317812163281009182,comuser8,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000089,RF78941626452141546184307,comuser8,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000810,RF18792377141026003350868,comuser8,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000096,RF81241979822679345622126,comuser9,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000097,RF95131166562524020800151,comuser9,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000098,RF40928581976966700025878,comuser9,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000099,RF57979145141195816606490,comuser9,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000910,RF51278489776916421287129,comuser9,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000106,RF37993562232348197205800,comuser10,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000107,RF70580252859886903929550,comuser10,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000108,RF55613223239842243277679,comuser10,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000109,RF13611675112760805513458,comuser10,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000001010,RF45940089296244327890994,comuser10,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000117,RF79520911621539610653345,comuser1,100000002,150.0,75.0,150.0,2026-01-04,2026-03-04,true,2026-01-04,PAID,2,2
20000000118,RF95869066252355752175523,comuser1,100000002,100.0,100.0,100.0,2026-02-01,2026-03-04,true,2026-01-04,PAID,1,1
20000000119,RF44775755925511425658729,comuser1,100000002,100.0,100.0,100.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000120,RF34207619570160705506942,comuser1,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000121,RF30852865233450363871378,comuser1,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000122,RF10630081037224548930244,comuser1,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000123,RF57422942673528650379954,comuser1,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000124,RF57362776540430356384397,comuser1,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000211,RF47176486670400037818409,comuser2,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000212,RF76368665069832003463607,comuser2,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000213,RF30323454792286136017930,comuser2,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000214,RF62015205939449909528548,comuser2,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000215,RF54063014303208133107797,comuser2,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000311,RF11175413288849185587723,comuser3,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000312,RF46302090421417038516196,comuser3,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000313,RF76173539890762364148864,comuser3,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000314,RF36488612045034683173161,comuser3,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000315,RF56665399828560588991954,comuser3,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000411,RF24199400207869437986218,comuser4,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000412,RF68383412320859198938225,comuser4,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000413,RF46729943660043809382412,comuser4,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000414,RF89499760024784110934305,comuser4,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000415,RF59363465873566688209628,comuser4,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000511,RF91604071564166785658855,comuser5,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000512,RF44044277870788878172529,comuser5,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000513,RF75352276619923492945679,comuser5,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000514,RF69836573090716326629817,comuser5,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000515,RF95354768434865400816524,comuser5,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000611,RF51132742183275461762895,comuser6,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000612,RF49173772135518998697704,comuser6,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000613,RF59610969990888345052474,comuser6,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000614,RF49864966575299975131937,comuser6,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000615,RF64681760741650068245966,comuser6,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000711,RF76178708708461378587540,comuser7,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000712,RF58139162170427283546907,comuser7,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000713,RF82333281065749724218547,comuser7,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000714,RF82014911851134013126760,comuser7,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000715,RF13482588013680681926708,comuser7,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000811,RF58490292084900764769647,comuser8,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000812,RF19060727411198519379384,comuser8,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000813,RF58022389577457446676631,comuser8,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000814,RF69078398999447455195984,comuser8,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000815,RF04257073821360392584312,comuser8,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000911,RF28312847136053500496299,comuser9,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000912,RF66735182376925315682585,comuser9,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000913,RF20581433428478054921294,comuser9,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000914,RF02317044647975643764638,comuser9,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000915,RF85814795639411945646292,comuser9,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000001011,RF11397627172859906354014,comuser10,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000001012,RF37659499467015886192461,comuser10,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000001013,RF85191548904302910416165,comuser10,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000001014,RF44630022268307794280288,comuser10,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000001015,RF84338917914846580493100,comuser10,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000125,RF57921760879909653059274,comuser1,100000002,150.0,75.0,150.0,2026-01-04,2026-03-04,true,2026-01-04,PAID,2,2
20000000126,RF24192122667071268946160,comuser1,100000002,100.0,100.0,100.0,2026-02-01,2026-03-04,true,2026-01-04,PAID,1,1
20000000127,RF36581288912799082797668,comuser1,100000002,100.0,100.0,100.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000128,RF83164856093586415599741,comuser1,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000129,RF39508217913030995062336,comuser1,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000130,RF09057889033534591369537,comuser1,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000131,RF96037025628154031774842,comuser1,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000132,RF56783677694764633214965,comuser1,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000216,RF95725553424868498718279,comuser2,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000217,RF77484333400150377772623,comuser2,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000218,RF89054569540322555332517,comuser2,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000219,RF76761473069430902539282,comuser2,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000220,RF10756723610589262736328,comuser2,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000316,RF35891869593538751568352,comuser3,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000317,RF52345984313088802020528,comuser3,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000318,RF16836318568068312343742,comuser3,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000319,RF36595662249721969516159,comuser3,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000320,RF74878948704780180062685,comuser3,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000416,RF57121948119814172717006,comuser4,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000417,RF63235674056907973959149,comuser4,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000418,RF62525466205618404513480,comuser4,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000419,RF85231206525790241542991,comuser4,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000420,RF28113898903166810751668,comuser4,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000516,RF60610895789328527413157,comuser5,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000517,RF58628106477251754657453,comuser5,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000518,RF56484914621063636671825,comuser5,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000519,RF87481132997790594311260,comuser5,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000520,RF14401249613194241302120,comuser5,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000616,RF84148568586520342957422,comuser6,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000617,RF44754334680463049280269,comuser6,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000618,RF91996555472267665329173,comuser6,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000619,RF51642223523871891425042,comuser6,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000620,RF54921939130713360503035,comuser6,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000716,RF10439066290054088950558,comuser7,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000717,RF37315967132405294531503,comuser7,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000718,RF63777305902225189094790,comuser7,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000719,RF04248275453995415080131,comuser7,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
20000000720,RF96947250674095867041419,comuser7,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
20000000816,RF34268353384425920450544,comuser8,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
20000000817,RF78508436958037571385883,comuser8,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000818,RF31196727389880957393290,comuser8,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
20000000819,RF23616984103084505321621,comuser8,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
